lci      loi de composition interne
lce      loi de composition externe

cad      c.-à-d.
ssi      si et seulement si
ssil     si et seulement s'il
LCSSE    Les conditions suivantes sont équivalentes:
apcr     à partir d'un certain rang
CNS      condition nécessaire et suffisante

sev      sous-\ev
sevs     sous-\evs
sep      sous-espace propre
seps     sous-espaces propres
sea      sous-espace affine
seas     sous-espaces affines

ev       espace vectoriel
Rev      $\R$-\ev
Cev      $\C$-\ev
Kev      $\K$-\ev

evs      espaces vectoriels
Revs     $\R$-\evs
Cevs     $\C$-\evs
Kevs     $\K$-\evs

evdf     espace vectoriel de dimension finie
Revdf    $\R$-espace vectoriel de dimension finie
Cevdf    $\C$-espace vectoriel de dimension finie
Kevdf    $\K$-espace vectoriel de dimension finie

evdfs    espaces vectoriels de dimensions finies
Revdfs   $\R$-espaces vectoriels de dimensions finies
Cevdfs   $\C$-espaces vectoriels de dimensions finies
Kevdfs   $\K$-espaces vectoriels de dimensions finies

evn      espace vectoriel normé
evns     espaces vectoriels normés
Kevn     $\K$-espace vectoriel normé
Kevns    $\K$-espaces vectoriels normés

evndf    espace vectoriel normé de dimension finie
evndfs   espaces vectoriels normés de dimensions finies
Kevndf   $\K$-espace vectoriel normé de dimension finie
Kevndfs  $\K$-espaces vectoriels normés de dimensions finies

bon      base orthonormale
bond     base orthonormale directe

va       variable aléatoire
vad      variable aléatoire discrète
var      variable aléatoire réelle
vadr     variable aléatoire discrète réelle

vas      variables aléatoires
vads     variables aléatoires discrètes
vars     variables aléatoires réelles
vadrs    variables aléatoires discrètes réelles
