    ∀    forall               # U+2200     FOR ALL
    ∃    exists               # U+2203     THERE EXISTS
    ∂    partial              # U+2202     PARTIAL DIFFERENTIAL
    ∅    emptyset             # U+2205     EMPTY SET
    ∈    in                   # U+2208     ELEMENT OF
    ∉    notin                # U+2209     NOT AN ELEMENT OF
    ⊂    subset               # U+2282     SUBSET OF
    ⊃    supset               # U+2283     SUPERSET OF
    ∖    setminus             # U+2216     SET MINUS
    ∩    cap                  # U+2229     INTERSECTION
    ∪    cup                  # U+222a     UNION
    ⋃    bigcup               # U+22c3     N-ARY UNION
    ⋂    bigcap               # U+22c2     N-ARY INTERSECTION
    □    square               # U+25a1     WHITE SQUARE

    ∞    infty                # U+221e     INFINITY
    ≠    neq                  # U+2260     NOT EQUAL TO
    ≤    le                   # U+2264     LESS-THAN OR EQUAL TO
    ≥    ge                   # U+2265     GREATER-THAN OR EQUAL TO
    ≤    leq                  # U+2264     LESS-THAN OR EQUAL TO
    ≥    geq                  # U+2265     GREATER-THAN OR EQUAL TO

    ⋅    cdot                 # U+22c5     DOT OPERATOR
    ×    times                # U+d7       MULTIPLICATION SIGN

    √    sqrt                 # U+221a     SQUARE ROOT
    ◦    circ                 # U+25e6     WHITE BULLET

    ∫    int                  # U+222b     INTEGRAL
    ∏    prod                 # U+220f     N-ARY PRODUCT
    ∑    sum                  # U+2211     N-ARY SUMMATION

    ⊕    oplus                # U+2295     CIRCLED PLUS
    ⨁    bigoplus             # U+2a01     N-ARY CIRCLED PLUS OPERATOR

    ℕ    N                    # U+2115     DOUBLE-STRUCK CAPITAL N
    ℤ    Z                    # U+2124     DOUBLE-STRUCK CAPITAL Z
    ℚ    Q                    # U+211a     DOUBLE-STRUCK CAPITAL Q
    ℝ    R                    # U+211d     DOUBLE-STRUCK CAPITAL R
    ℂ    C                    # U+2102     DOUBLE-STRUCK CAPITAL C
    𝕂    K                    # U+1d542    MATHEMATICAL DOUBLE-STRUCK CAPITAL K

    α    alpha                # U+3b1      GREEK SMALL LETTER ALPHA
    β    beta                 # U+3b2      GREEK SMALL LETTER BETA
    γ    gamma                # U+3b3      GREEK SMALL LETTER GAMMA
    δ    delta                # U+3b4      GREEK SMALL LETTER DELTA
    ε    epsilon              # U+3b5      GREEK SMALL LETTER EPSILON
    ζ    zeta                 # U+3b6      GREEK SMALL LETTER ZETA
    η    eta                  # U+3b7      GREEK SMALL LETTER ETA
    θ    theta                # U+3b8      GREEK SMALL LETTER THETA
    ι    iota                 # U+3b9      GREEK SMALL LETTER IOTA
    κ    kappa                # U+3ba      GREEK SMALL LETTER KAPPA
    λ    lambda               # U+3bb      GREEK SMALL LETTER LAMDA
    μ    mu                   # U+3bc      GREEK SMALL LETTER MU
    ν    nu                   # U+3bd      GREEK SMALL LETTER NU
    ξ    xi                   # U+3be      GREEK SMALL LETTER XI
    ο    omicron              # U+3bf      GREEK SMALL LETTER OMICRON
    π    pi                   # U+3c0      GREEK SMALL LETTER PI
    ρ    rho                  # U+3c1      GREEK SMALL LETTER RHO
    σ    sigma                # U+3c3      GREEK SMALL LETTER SIGMA
    τ    tau                  # U+3c4      GREEK SMALL LETTER TAU
    υ    upsilon              # U+3c5      GREEK SMALL LETTER UPSILON
    ϕ    phi                  # U+3d5      GREEK PHI SYMBOL
    φ    varphi               # U+3c6      GREEK SMALL LETTER PHI
    χ    chi                  # U+3c7      GREEK SMALL LETTER CHI
    ψ    psi                  # U+3c8      GREEK SMALL LETTER PSI
    ω    omega                # U+3c9      GREEK SMALL LETTER OMEGA
    Γ    Gamma                # U+393      GREEK CAPITAL LETTER GAMMA
    Δ    Delta                # U+394      GREEK CAPITAL LETTER DELTA
    Θ    Theta                # U+398      GREEK CAPITAL LETTER THETA
    Λ    Lambda               # U+39b      GREEK CAPITAL LETTER LAMDA
    Ξ    Xi                   # U+39e      GREEK CAPITAL LETTER XI
    Π    Pi                   # U+3a0      GREEK CAPITAL LETTER PI
    Σ    Sigma                # U+3a3      GREEK CAPITAL LETTER SIGMA
    Φ    Phi                  # U+3a6      GREEK CAPITAL LETTER PHI
    Ψ    Psi                  # U+3a8      GREEK CAPITAL LETTER PSI
    Ω    Omega                # U+3a9      GREEK CAPITAL LETTER OMEGA

    ℓ    ell                  # U+2113     SCRIPT SMALL L
    ±    pm                   # U+b1       PLUS-MINUS SIGN
    ∓    mp                   # U+2213     MINUS-OR-PLUS SIGN

    ⊥    bot                  # U+22a5     UP TACK

    𝔼    E                    # U+1d53c    MATHEMATICAL DOUBLE-STRUCK CAPITAL E
    ℙ    P                    # U+2119     DOUBLE-STRUCK CAPITAL P
    𝕍    V                    # U+1d54d    MATHEMATICAL DOUBLE-STRUCK CAPITAL V

    ↪    hookrightarrow       # U+21aa     RIGHTWARDS ARROW WITH HOOK

    ∂    partial              # U+2202     PARTIAL DIFFERENTIAL
    ∇    nabla                # U+2207     NABLA
